accident_uid,accident_type,accident_type_de,accident_type_fr,accident_type_it,accident_type_en,accident_severity_category,accident_severity_category_de,accident_severity_category_fr,accident_severity_category_it,accident_severity_category_en,accident_involving_pedestrian,accident_involving_bicycle,accident_involving_motorcycle,road_type,road_type_de,road_type_fr,road_type_it,road_type_en,canton_code,municipality_code,accident_year,accident_month,accident_month_de,accident_month_fr,accident_month_it,accident_month_en,accident_week_day,accident_week_day_de,accident_week_day_fr,accident_week_day_it,accident_week_day_en,accident_hour,accident_hour_text,gemeinde_f,gemeinde_d,lon,lat
00E3DB02CC9F8A46AFB1F46A3AE39464,at4,Einbiegeunfall,accident en s'engageant sur une route,Incidente nell’immettersi in una strada,Accident when turning-into main road,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,FALSE,TRUE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,GE,6628,2024,8,August,août,Agosto,August,aw401,Montag,lundi,Lunedí,Monday,19,19h-20h,Lancy,Lancy,6.113789478929035,46.18083690656253
026AC10754E7F048BE5868F5AB5F6039,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,TRUE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,VD,5402,2024,11,November,novembre,Novembre,November,aw406,Samstag,samedi,Sabato,Saturday,14,14h-15h,Bex,Bex,7.009964444715826,46.22155796291743
0A6C152F78F3C94FA323650CFA5E90AA,at3,Abbiegeunfall,accident en quittant une route,Incidente nello svoltare,Accident when turning left or right,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,FALSE,TRUE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,VD,5414,2024,7,Juli,juillet,Luglio,July,aw406,Samstag,samedi,Sabato,Saturday,20,20h-21h,Villeneuve (VD),Villeneuve VD,6.928625225594417,46.40382522378686
1C17E8BC6BC3015AE0630AB38B021580,at1,Überholunfall oder Fahrstreifenwechsel,accident lors d'un dépassement ou lors d'un changement de voie de circulation,Incidente di sorpasso o al cambiamento di corsia,Accident when overtaking or changing lanes,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,TRUE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,GE,6621,2024,3,März,mars,Marzo,March,aw404,Donnerstag,jeudi,Giovedì,Thursday,13,13h-14h,Genève,Genf,6.148046343035365,46.206569177557775
1CF4E7F87D3202D8E0630AB38B028ED3,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,ZG,1704,2024,7,Juli,juillet,Luglio,July,aw404,Donnerstag,jeudi,Giovedì,Thursday,19,19h-20h,Menzingen,Menzingen,8.588186388786568,47.16217754783173
1CF4E7F8A3ED02D8E0630AB38B028ED3,at4,Einbiegeunfall,accident en s'engageant sur une route,Incidente nell’immettersi in una strada,Accident when turning-into main road,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,TRUE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,AG,4123,2024,5,Mai,mai,Maggio,May,aw401,Montag,lundi,Lunedí,Monday,13,13h-14h,Windisch,Windisch,8.221449705935221,47.478502082527946
1CF4E83A1C7C029EE0630AB38B024CC2,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,ZH,55,2024,6,Juni,juin,Giugno,June,aw405,Freitag,vendredi,Venerdì,Friday,18,18h-19h,Eglisau,Eglisau,8.521708237516062,47.574492764405846
1CF4E83A49F0029EE0630AB38B024CC2,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,FALSE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,LU,1033,2024,6,Juni,juin,Giugno,June,aw401,Montag,lundi,Lunedí,Monday,11,11h-12h,Inwil,Inwil,8.354473730100842,47.12277932948531
1CF4E83DD298022AE0630AB38B02A742,at6,Frontalkollision,collision frontale,Collisione frontale,Accident with head-on collision,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,FALSE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,BE,404,2024,4,April,avril,Aprile,April,aw404,Donnerstag,jeudi,Giovedì,Thursday,05,05h-06h,Berthoud,Burgdorf,7.625755551809672,47.06062672798964
1CF4EE34FC3002CEE0630AB38B02AA44,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,FALSE,TRUE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,VD,5501,2024,5,Mai,mai,Maggio,May,aw407,Sonntag,dimanche,Domenica,Sunday,12,12h-13h,Sullens,Sullens,6.559599166459209,46.592711201937796
