"lon","lat","gemeinde_f","accident_severity_category_fr"
9.0985,47.2911,"Wattwil","a"
9.0985,47.2911,"Wattwil","a"
9.0985,47.2911,"Wattwil","a"
9.0985,47.2911,"Wattwil","a"
9.0985,47.2911,"Wattwil","a"
9.0985,47.2911,"Wattwil","a"
9.0985,47.2911,"Wattwil","a"
9.0985,47.2911,"Wattwil","a"
9.0985,47.2911,"Wattwil","a"
9.0985,47.2911,"Wattwil","a"
9.0985,47.2911,"Wattwil","a"
9.0985,47.2911,"Wattwil","a"
9.0985,47.2911,"Wattwil","a"
9.0985,47.2911,"Wattwil","a"
9.0985,47.2911,"Wattwil","a"
7.124,46.8649,"Courtepin","a"
7.124,46.8649,"Courtepin","a"
7.124,46.8649,"Courtepin","a"
7.124,46.8649,"Courtepin","a"
7.124,46.8649,"Courtepin","a"
7.124,46.8649,"Courtepin","a"
7.124,46.8649,"Courtepin","a"
7.124,46.8649,"Courtepin","a"
7.124,46.8649,"Courtepin","a"
7.124,46.8649,"Courtepin","a"
7.124,46.8649,"Courtepin","a"
7.124,46.8649,"Courtepin","a"
7.124,46.8649,"Courtepin","a"
7.124,46.8649,"Courtepin","a"
7.124,46.8649,"Courtepin","a"
7.0057,47.0449,"Cressier (NE)","a"
7.0057,47.0449,"Cressier (NE)","a"
7.0057,47.0449,"Cressier (NE)","a"
7.0057,47.0449,"Cressier (NE)","a"
7.0057,47.0449,"Cressier (NE)","a"
7.0057,47.0449,"Cressier (NE)","a"
7.0057,47.0449,"Cressier (NE)","a"
7.0057,47.0449,"Cressier (NE)","a"
7.0057,47.0449,"Cressier (NE)","a"
7.0057,47.0449,"Cressier (NE)","a"
7.0057,47.0449,"Cressier (NE)","a"
7.0057,47.0449,"Cressier (NE)","a"
7.0057,47.0449,"Cressier (NE)","a"
7.0057,47.0449,"Cressier (NE)","a"
7.0057,47.0449,"Cressier (NE)","a"
7.5055,46.9336,"Muri bei Bern","a"
7.5055,46.9336,"Muri bei Bern","a"
7.5055,46.9336,"Muri bei Bern","a"
7.5055,46.9336,"Muri bei Bern","a"
7.5055,46.9336,"Muri bei Bern","a"
7.5055,46.9336,"Muri bei Bern","a"
7.5055,46.9336,"Muri bei Bern","a"
7.5055,46.9336,"Muri bei Bern","a"
7.5055,46.9336,"Muri bei Bern","a"
7.5055,46.9336,"Muri bei Bern","a"
7.5055,46.9336,"Muri bei Bern","a"
7.5055,46.9336,"Muri bei Bern","a"
7.5055,46.9336,"Muri bei Bern","a"
7.5055,46.9336,"Muri bei Bern","a"
7.5055,46.9336,"Muri bei Bern","a"
8.2714,47.3543,"Wohlen (AG)","b"
8.2714,47.3543,"Wohlen (AG)","b"
8.2714,47.3543,"Wohlen (AG)","b"
8.2714,47.3543,"Wohlen (AG)","b"
8.2714,47.3543,"Wohlen (AG)","b"
8.2714,47.3543,"Wohlen (AG)","b"
8.2714,47.3543,"Wohlen (AG)","b"
8.2714,47.3543,"Wohlen (AG)","b"
8.2714,47.3543,"Wohlen (AG)","b"
8.2714,47.3543,"Wohlen (AG)","b"
8.2714,47.3543,"Wohlen (AG)","b"
8.2714,47.3543,"Wohlen (AG)","b"
8.2714,47.3543,"Wohlen (AG)","b"
8.2714,47.3543,"Wohlen (AG)","b"
8.2714,47.3543,"Wohlen (AG)","b"
6.1395,46.2065,"Genève","a"
6.1395,46.2065,"Genève","a"
6.1395,46.2065,"Genève","a"
6.1395,46.2065,"Genève","a"
6.1395,46.2065,"Genève","a"
6.1395,46.2065,"Genève","a"
6.1395,46.2065,"Genève","a"
6.1395,46.2065,"Genève","a"
6.1395,46.2065,"Genève","a"
6.1395,46.2065,"Genève","a"
6.1395,46.2065,"Genève","a"
6.1395,46.2065,"Genève","a"
6.1395,46.2065,"Genève","a"
6.1395,46.2065,"Genève","a"
6.1395,46.2065,"Genève","a"
7.581,47.5707,"Bâle","a"
7.581,47.5707,"Bâle","a"
7.581,47.5707,"Bâle","a"
7.581,47.5707,"Bâle","a"
7.581,47.5707,"Bâle","a"
7.581,47.5707,"Bâle","a"
7.581,47.5707,"Bâle","a"
7.581,47.5707,"Bâle","a"
7.581,47.5707,"Bâle","a"
7.581,47.5707,"Bâle","a"
7.581,47.5707,"Bâle","a"
7.581,47.5707,"Bâle","a"
7.581,47.5707,"Bâle","a"
7.581,47.5707,"Bâle","a"
7.581,47.5707,"Bâle","a"
8.6415,47.7059,"Schaffhouse","a"
8.6415,47.7059,"Schaffhouse","a"
8.6415,47.7059,"Schaffhouse","a"
8.6415,47.7059,"Schaffhouse","a"
8.6415,47.7059,"Schaffhouse","a"
8.6415,47.7059,"Schaffhouse","a"
8.6415,47.7059,"Schaffhouse","a"
8.6415,47.7059,"Schaffhouse","a"
8.6415,47.7059,"Schaffhouse","a"
8.6415,47.7059,"Schaffhouse","a"
8.6415,47.7059,"Schaffhouse","a"
8.6415,47.7059,"Schaffhouse","a"
8.6415,47.7059,"Schaffhouse","a"
8.6415,47.7059,"Schaffhouse","a"
8.6415,47.7059,"Schaffhouse","a"
9.5429,47.3405,"Altstätten","a"
9.5429,47.3405,"Altstätten","a"
9.5429,47.3405,"Altstätten","a"
9.5429,47.3405,"Altstätten","a"
9.5429,47.3405,"Altstätten","a"
9.5429,47.3405,"Altstätten","a"
9.5429,47.3405,"Altstätten","a"
9.5429,47.3405,"Altstätten","a"
9.5429,47.3405,"Altstätten","a"
9.5429,47.3405,"Altstätten","a"
9.5429,47.3405,"Altstätten","a"
9.5429,47.3405,"Altstätten","a"
9.5429,47.3405,"Altstätten","a"
9.5429,47.3405,"Altstätten","a"
9.5429,47.3405,"Altstätten","a"
8.0699,47.0581,"Wolhusen","a"
8.0699,47.0581,"Wolhusen","a"
8.0699,47.0581,"Wolhusen","a"
8.0699,47.0581,"Wolhusen","a"
8.0699,47.0581,"Wolhusen","a"
8.0699,47.0581,"Wolhusen","a"
8.0699,47.0581,"Wolhusen","a"
8.0699,47.0581,"Wolhusen","a"
8.0699,47.0581,"Wolhusen","a"
8.0699,47.0581,"Wolhusen","a"
8.0699,47.0581,"Wolhusen","a"
8.0699,47.0581,"Wolhusen","a"
8.0699,47.0581,"Wolhusen","a"
8.0699,47.0581,"Wolhusen","a"
8.0699,47.0581,"Wolhusen","a"
8.3108,47.1294,"Eschenbach (LU)","a"
8.3108,47.1294,"Eschenbach (LU)","a"
8.3108,47.1294,"Eschenbach (LU)","a"
8.3108,47.1294,"Eschenbach (LU)","a"
