"","municipality_code","accident_severity_category_fr","tot_accident_municipality","tot_accident_severity_category"
"1",1,"accident avec blessés graves",8,4
"2",1,"accident avec blessés légers",8,4
"3",2,"accident avec blessés graves",14,4
"4",2,"accident avec blessés légers",14,10
"5",3,"accident avec tués",5,1
"6",3,"accident avec blessés graves",5,1
"7",3,"accident avec blessés légers",5,3
"8",4,"accident avec blessés graves",7,2
"9",4,"accident avec blessés légers",7,5
"10",6,"accident avec blessés légers",5,5
"11",7,"accident avec blessés graves",7,1
"12",7,"accident avec blessés légers",7,6
"13",8,"accident avec blessés graves",2,1
"14",8,"accident avec blessés légers",2,1
"15",9,"accident avec blessés graves",6,2
"16",9,"accident avec blessés légers",6,4
"17",10,"accident avec blessés légers",8,8
"18",11,"accident avec blessés légers",1,1
"19",12,"accident avec blessés légers",2,2
"20",13,"accident avec blessés légers",7,7
"21",14,"accident avec blessés graves",6,2
"22",14,"accident avec blessés légers",6,4
"23",22,"accident avec blessés graves",1,1
"24",24,"accident avec blessés graves",3,2
"25",24,"accident avec blessés légers",3,1
"26",25,"accident avec blessés légers",3,3
"27",26,"accident avec blessés légers",1,1
"28",27,"accident avec tués",4,1
"29",27,"accident avec blessés légers",4,3
"30",28,"accident avec blessés graves",7,2
"31",28,"accident avec blessés légers",7,5
"32",29,"accident avec blessés légers",1,1
"33",31,"accident avec blessés légers",3,3
"34",33,"accident avec blessés légers",6,6
"35",34,"accident avec blessés légers",2,2
"36",35,"accident avec blessés graves",3,1
"37",35,"accident avec blessés légers",3,2
"38",37,"accident avec blessés graves",2,2
"39",38,"accident avec blessés graves",4,2
"40",38,"accident avec blessés légers",4,2
"41",39,"accident avec blessés légers",1,1
"42",40,"accident avec blessés graves",2,1
"43",40,"accident avec blessés légers",2,1
"44",43,"accident avec blessés légers",1,1
"45",51,"accident avec blessés légers",7,7
"46",52,"accident avec blessés légers",12,12
"47",53,"accident avec blessés graves",43,5
"48",53,"accident avec blessés légers",43,38
"49",54,"accident avec blessés graves",20,4
"50",54,"accident avec blessés légers",20,16
"51",55,"accident avec blessés graves",12,4
"52",55,"accident avec blessés légers",12,8
"53",56,"accident avec blessés légers",19,19
"54",57,"accident avec blessés graves",6,3
"55",57,"accident avec blessés légers",6,3
"56",58,"accident avec blessés légers",5,5
"57",59,"accident avec blessés légers",1,1
"58",60,"accident avec blessés légers",7,7
"59",61,"accident avec blessés légers",1,1
"60",62,"accident avec tués",55,1
"61",62,"accident avec blessés graves",55,6
"62",62,"accident avec blessés légers",55,48
"63",63,"accident avec blessés légers",2,2
"64",64,"accident avec blessés légers",5,5
"65",65,"accident avec blessés légers",5,5
"66",66,"accident avec tués",48,1
"67",66,"accident avec blessés graves",48,4
