"","municipality_code","gemeinde_d","accident_avec_blesses_legers","accident_avec_blesses_graves","accident_avec_tues","total_accidents"
"1",2,"Affoltern am Albis",15,3,0,18
"2",2,"Affoltern am Albis",15,3,0,18
"3",2,"Affoltern am Albis",15,3,0,18
"4",2,"Affoltern am Albis",15,3,0,18
"5",2,"Affoltern am Albis",15,3,0,18
"6",2,"Affoltern am Albis",15,3,0,18
"7",2,"Affoltern am Albis",15,3,0,18
"8",2,"Affoltern am Albis",15,3,0,18
"9",2,"Affoltern am Albis",15,3,0,18
"10",2,"Affoltern am Albis",15,3,0,18
"11",2,"Affoltern am Albis",15,3,0,18
"12",2,"Affoltern am Albis",15,3,0,18
"13",2,"Affoltern am Albis",15,3,0,18
"14",2,"Affoltern am Albis",15,3,0,18
"15",2,"Affoltern am Albis",15,3,0,18
"16",3,"Bonstetten",9,3,0,12
"17",3,"Bonstetten",9,3,0,12
"18",3,"Bonstetten",9,3,0,12
"19",3,"Bonstetten",9,3,0,12
"20",3,"Bonstetten",9,3,0,12
"21",3,"Bonstetten",9,3,0,12
"22",3,"Bonstetten",9,3,0,12
"23",3,"Bonstetten",9,3,0,12
"24",3,"Bonstetten",9,3,0,12
"25",3,"Bonstetten",9,3,0,12
"26",3,"Bonstetten",9,3,0,12
"27",3,"Bonstetten",9,3,0,12
"28",3,"Bonstetten",9,3,0,12
"29",3,"Bonstetten",9,3,0,12
"30",3,"Bonstetten",9,3,0,12
"31",4,"Hausen am Albis",6,4,0,10
"32",4,"Hausen am Albis",6,4,0,10
"33",4,"Hausen am Albis",6,4,0,10
"34",4,"Hausen am Albis",6,4,0,10
"35",4,"Hausen am Albis",6,4,0,10
"36",4,"Hausen am Albis",6,4,0,10
"37",4,"Hausen am Albis",6,4,0,10
"38",4,"Hausen am Albis",6,4,0,10
"39",4,"Hausen am Albis",6,4,0,10
"40",4,"Hausen am Albis",6,4,0,10
"41",4,"Hausen am Albis",6,4,0,10
"42",4,"Hausen am Albis",6,4,0,10
"43",4,"Hausen am Albis",6,4,0,10
"44",4,"Hausen am Albis",6,4,0,10
"45",5,"Hedingen",3,1,0,4
"46",5,"Hedingen",3,1,0,4
"47",5,"Hedingen",3,1,0,4
"48",5,"Hedingen",3,1,0,4
"49",5,"Hedingen",3,1,0,4
"50",5,"Hedingen",3,1,0,4
"51",5,"Hedingen",3,1,0,4
"52",5,"Hedingen",3,1,0,4
"53",5,"Hedingen",3,1,0,4
"54",5,"Hedingen",3,1,0,4
"55",5,"Hedingen",3,1,0,4
"56",5,"Hedingen",3,1,0,4
"57",6,"Kappel am Albis",0,1,0,1
"58",6,"Kappel am Albis",0,1,0,1
"59",6,"Kappel am Albis",0,1,0,1
"60",6,"Kappel am Albis",0,1,0,1
"61",6,"Kappel am Albis",0,1,0,1
"62",6,"Kappel am Albis",0,1,0,1
"63",6,"Kappel am Albis",0,1,0,1
"64",6,"Kappel am Albis",0,1,0,1
"65",6,"Kappel am Albis",0,1,0,1
