"","municipality_code","gemeinde_f","accident_avec_blesses_legers","accident_avec_blesses_graves","accident_avec_tues"
"1",2,"Affoltern am Albis",15,3,0
"2",2,"Affoltern am Albis",15,3,0
"3",2,"Affoltern am Albis",15,3,0
"4",2,"Affoltern am Albis",15,3,0
"5",2,"Affoltern am Albis",15,3,0
"6",2,"Affoltern am Albis",15,3,0
"7",2,"Affoltern am Albis",15,3,0
"8",2,"Affoltern am Albis",15,3,0
"9",2,"Affoltern am Albis",15,3,0
"10",2,"Affoltern am Albis",15,3,0
"11",2,"Affoltern am Albis",15,3,0
"12",2,"Affoltern am Albis",15,3,0
"13",2,"Affoltern am Albis",15,3,0
"14",2,"Affoltern am Albis",15,3,0
"15",2,"Affoltern am Albis",15,3,0
"16",3,"Bonstetten",9,3,0
"17",3,"Bonstetten",9,3,0
"18",3,"Bonstetten",9,3,0
"19",3,"Bonstetten",9,3,0
"20",3,"Bonstetten",9,3,0
"21",3,"Bonstetten",9,3,0
"22",3,"Bonstetten",9,3,0
"23",3,"Bonstetten",9,3,0
"24",3,"Bonstetten",9,3,0
"25",3,"Bonstetten",9,3,0
"26",3,"Bonstetten",9,3,0
"27",3,"Bonstetten",9,3,0
"28",3,"Bonstetten",9,3,0
"29",3,"Bonstetten",9,3,0
"30",3,"Bonstetten",9,3,0
"31",4,"Hausen am Albis",6,4,0
"32",4,"Hausen am Albis",6,4,0
"33",4,"Hausen am Albis",6,4,0
"34",4,"Hausen am Albis",6,4,0
"35",4,"Hausen am Albis",6,4,0
"36",4,"Hausen am Albis",6,4,0
"37",4,"Hausen am Albis",6,4,0
"38",4,"Hausen am Albis",6,4,0
"39",4,"Hausen am Albis",6,4,0
"40",4,"Hausen am Albis",6,4,0
"41",4,"Hausen am Albis",6,4,0
"42",4,"Hausen am Albis",6,4,0
"43",4,"Hausen am Albis",6,4,0
"44",4,"Hausen am Albis",6,4,0
"45",5,"Hedingen",3,1,0
"46",5,"Hedingen",3,1,0
"47",5,"Hedingen",3,1,0
"48",5,"Hedingen",3,1,0
"49",5,"Hedingen",3,1,0
"50",5,"Hedingen",3,1,0
"51",5,"Hedingen",3,1,0
"52",5,"Hedingen",3,1,0
"53",5,"Hedingen",3,1,0
"54",5,"Hedingen",3,1,0
"55",5,"Hedingen",3,1,0
"56",5,"Hedingen",3,1,0
"57",6,"Kappel am Albis",0,1,0
"58",6,"Kappel am Albis",0,1,0
"59",6,"Kappel am Albis",0,1,0
"60",6,"Kappel am Albis",0,1,0
"61",6,"Kappel am Albis",0,1,0
"62",6,"Kappel am Albis",0,1,0
"63",6,"Kappel am Albis",0,1,0
"64",6,"Kappel am Albis",0,1,0
"65",6,"Kappel am Albis",0,1,0
"66",6,"Kappel am Albis",0,1,0
"67",6,"Kappel am Albis",0,1,0
"68",6,"Kappel am Albis",0,1,0
"69",6,"Kappel am Albis",0,1,0
"70",6,"Kappel am Albis",0,1,0
"71",7,"Knonau",4,0,0
"72",7,"Knonau",4,0,0
"73",7,"Knonau",4,0,0
"74",7,"Knonau",4,0,0
"75",7,"Knonau",4,0,0
"76",7,"Knonau",4,0,0
"77",7,"Knonau",4,0,0
